Year,Economic Sector,Degree Type,Academic Degree,Male,Female
2023,Public administration and defence; compulsory social security,Bachelors,B.Sc. From Ras Laffan Emergency and Safety College,37,11
2023,Engineering,Bachelors,Bachelor of Applied Science in Maintenance Engineering Technology,1,0
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Applied Accounting,25,37
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Banking and Financial Technology,6,9
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Digital Marketing,27,31
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Human Resource Management,14,39
2023,Engineering,Bachelors,Bachelor of Science in Chemical Engineering - Processing Engineering,39,34
2023,Human health and social work activities,Bachelors,Bachelor of Science in Dental Hygiene,1,17
2023,Engineering,Bachelors,Bachelor of Science in Electrical Engineering - Telecommunications and Network Engineering,29,20
2023,Human health and social work activities,Bachelors,Bachelor of Science in Environmental Health,2,16
2023,Information and communication,Bachelors,Bachelor of Science in Information Systems,8,14
2023,Information and communication,Bachelors,Bachelor of Science in Information Technology,18,10
2023,Engineering,Bachelors,Bachelor of Science in Mechanical Engineering - Maintenance Engineering,40,3
2023,Human health and social work activities,Bachelors,Bachelor of Science in Medical Radiography,4,43
2023,Human health and social work activities,Bachelors,"Bachelor of Science in Occupational Health, Safety, and Environment",5,4
2023,Human health and social work activities,Bachelors,Bachelor of Science in Paramedicine,6,5
2023,Human health and social work activities,Bachelors,Bachelor of Science in Pharmacy Technology,5,23
2023,Human health and social work activities,Bachelors,Bachelor of Science in Respiratory Therapy,5,30
2023,Public administration and defence; compulsory social security,Bachelors,Bachelor of Arts in Public Administration,29,60
2023,Information and communication,Bachelors,Bachelor of Science in Information Technology - Cyber and Network Security Concentration,19,15
2023,Engineering,Bachelors,Bachelor of Science in Electrical Engineering Technology,0,8
2023,Transportation and storage,Bachelors,Bachelor of Science in Logistics and Supply Chain Management,41,27
2023,Engineering,Bachelors,Bachelor of Science in Mechanical Engineering Technology,12,3
2023,Financial and insurance activities,Bachelors,Bachelor of Human Resources Management ,4,23
2023,Business Administration,Bachelors,Bachelor of Project Management,10,19
2023,Education,Diploma,Diploma in Primary Education,0,1
2023,Education,Diploma,Early Childhood Education,0,6
2023,Education,Diploma,Primary Education,3,7
2023,Education,Diploma,Secondary Education,6,1
2023,Education,Diploma,Special Education,8,5
2023,Natural sciences,Master,Applied Statistics,1,4
2023,Education,Master,Arabic Language & Literature,0,5
2023,Natural sciences,Master,Environmental Sciences,0,7
2023,Public administration and defence; compulsory social security,Master,Gulf Studies,4,3
2023,Natural sciences,Master,Material Sci and Technology,1,5
2023,Financial and insurance activities,Master,Accounting,4,6
2023,Business Administration,Master,Business Administration,9,8
2023,Financial and insurance activities,Master,Finance,1,5
2023,Financial and insurance activities,Master,Marketing,0,9
2023,Education,Master,"Curriculum,Instruc. & Assessm.",0,8
2023,Education,Master,Educational Leadership,0,6
2023,Education,Master,Special Education,0,7
2023,Engineering,Master,Civil Engineering,10,0
2023,Information and communication,Master,Computing,3,7
2023,Engineering,Master,Electrical Engineering,3,2
2023,Engineering,Master,Engineering Management,6,11
2023,Engineering,Master,Environmental Engineering,3,13
2023,Engineering,Master,Gas and Process Engineering,0,1
2023,Engineering,Master,Mechanical Engineering,11,1
2023,Architecture and urban planning,Master,Urban Planning,1,5
2023,Human health and social work activities,Master,Biomedical Sciences,0,8
2023,Human health and social work activities,Master,Genetic Counselling,0,2
2023,Human health and social work activities,Master,Human Nutrition,0,4
2023,Public administration and defence; compulsory social security,Master,Public Health,1,4
2023,Public administration and defence; compulsory social security,Master,Private Law,5,12
2023,Human health and social work activities,Master,Public Law,5,14
2023,Education,Master,Pharmacy,0,22
2023,Education,Master,Fiqh and Usul,8,2
2023,Public administration and defence; compulsory social security,Master,Quranic Sciences and Exegesis,2,9
2023,Human health and social work activities,Master,Religions and Creed,2,7
2023,Business Administration,Master,Master of Science in Diabetes Care and Patient Education,0,4
2023,Business Administration,Master,Master of Science in Human Resource Management,0,8
2023,Natural sciences,Doctorate,Biological and Environmental Sciences,0,1
2023,Public administration and defence; compulsory social security,Doctorate,Gulf Studies,1,2
2023,Business Administration,Doctorate,Business Administration,0,3
2023,Architecture,Doctorate,Architecture,0,1
2023,Engineering,Doctorate,Chemical Engineering,1,1
2023,Engineering,Doctorate,Civil Engineering,3,0
2023,Information and communication,Doctorate,Computer Engineering,0,1
2023,Engineering,Doctorate,Computer Science,0,2
2023,Engineering,Doctorate,Electrical Engineering,1,1
2023,Engineering,Doctorate,Engineering Management,2,1
2023,Engineering,Doctorate,Environmental Engineering,0,1
2023,Architecture and urban planning,Doctorate,Urban Planning,1,0
2023,Public administration and defence; compulsory social security,Doctorate,Law,2,0
2023,Human health and social work activities,Doctorate,Medical Sciences,1,1
2023,Human health and social work activities,Doctorate,Pharmaceutical Sciences,0,1
2023,Education,Doctorate,Fiqh and Usul,4,1
